datetime,bitmex-ADA/BTC-fill,bitmex-ADA/BTC-leverage,bitmex-ADA/BTC-position-in-BTC,bitmex-ADA/BTC-position-in-USD,bitmex-ADA/BTC-price,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,benchmark_equity,btc_benchmark_equity,returns,btc_returns,benchmark_returns,btc_benchmark_returns,equity_curve,btc_equity_curve,benchmark_equity_curve,btc_benchmark_equity_curve,drawdown,btc_drawdown
2019-05-01 01:00:00-04:00,,1,0.0,0.0,1.271e-05,0.9550186228631459,0.9550186228631459,4997.1349441314105,5232.5,,1,0.0,0.0,0.0008867000000000001,,1,0.0,0.0,5.822e-05,0.0,0.0,0.0,0.9550186228631459,4997.1349441314105,5000.0,0.9555661729574773,,,,,,,,,,
2019-05-01 01:01:00-04:00,,1,0.0,0.0,1.271e-05,0.9550186228631459,0.9550186228631459,4993.79237895139,5229.0,,1,0.0,0.0,0.0008866,,1,0.0,0.0,5.822e-05,0.0,0.0,0.0,0.9550186228631459,4993.79237895139,4996.655518394648,0.9562057754828839,-0.0006688963210701449,0.0,-0.0006688963210703669,0.0006693440428380271,0.9993311036789299,1.0,0.9993311036789296,1.000669344042838,0.0,0.0
2019-05-01 01:02:00-04:00,,1,0.0,0.0,1.27e-05,0.9550186228631459,0.9550186228631459,4994.269888262821,5229.5,,1,0.0,0.0,0.0008868,,1,0.0,0.0,5.8299999999999994e-05,0.0,0.0,0.0,0.9550186228631459,4994.269888262821,4997.133301481128,0.9561143512764126,9.562057754819442e-05,0.0,9.562057754841646e-05,-9.561143512759607e-05,0.9994266602962255,1.0,0.9994266602962255,1.0005736686107658,0.0,0.0
2019-05-01 01:03:00-04:00,,1,0.0,0.0,1.27e-05,0.9550186228631459,0.9550186228631459,4994.747397574253,5230.0,,1,0.0,0.0,0.0008867000000000001,,1,0.0,0.0,5.8299999999999994e-05,0.0,0.0,0.0,0.9550186228631459,4994.747397574253,4997.611084567607,0.9560229445506692,9.561143512781811e-05,0.0,9.561143512759607e-05,-9.560229445515489e-05,0.9995222169135214,1.0,0.9995222169135212,1.000478011472275,0.0,0.0
2019-05-01 01:04:00-04:00,,1,0.0,0.0,1.27e-05,0.9550186228631459,0.9550186228631459,4989.017285837074,5224.0,,1,0.0,0.0,0.0008866,,1,0.0,0.0,5.825e-05,0.0,0.0,0.0,0.9550186228631459,4989.017285837074,4991.877687529862,0.9571209800918836,-0.0011472275334608595,0.0,-0.0011472275334608595,0.0011485451761104049,0.9983755375059724,1.0,0.9983755375059722,1.001627105666156,0.0011466794075489783,0.0
2019-05-01 01:05:00-04:00,,1,0.0,0.0,1.271e-05,0.9550186228631459,0.9550186228631459,4989.494795148506,5224.5,,1,0.0,0.0,0.0008868,,1,0.0,0.0,5.827e-05,0.0,0.0,0.0,0.9550186228631459,4989.494795148506,4992.35547061634,0.9570293808019906,9.57120980091819e-05,0.0,9.57120980091819e-05,-9.570293808025543e-05,0.9984710941232682,1.0,0.998471094123268,1.001531247009283,0.0010511227902532116,0.0
2019-05-01 01:06:00-04:00,,1,0.0,0.0,1.271e-05,0.9550186228631459,0.9550186228631459,4989.494795148506,5224.5,,1,0.0,0.0,0.0008869999999999999,,1,0.0,0.0,5.8299999999999994e-05,0.0,0.0,0.0,0.9550186228631459,4989.494795148506,4992.35547061634,0.9570293808019906,0.0,0.0,0.0,0.0,0.9984710941232682,1.0,0.998471094123268,1.001531247009283,0.0010511227902532116,0.0
2019-05-01 01:07:00-04:00,,1,0.0,0.0,1.27e-05,0.9550186228631459,0.9550186228631459,4989.017285837074,5224.0,,1,0.0,0.0,0.0008868,,1,0.0,0.0,5.831e-05,0.0,0.0,0.0,0.9550186228631459,4989.017285837074,4991.877687529862,0.9571209800918836,-9.57029380801444e-05,0.0,-9.57029380801444e-05,9.57120980091819e-05,0.9983755375059725,1.0,0.9983755375059723,1.001627105666156,0.0011466794075488673,0.0
2019-05-01 01:08:00-04:00,,1,0.0,0.0,1.271e-05,0.9550186228631459,0.9550186228631459,4989.494795148506,5224.5,,1,0.0,0.0,0.0008865,,1,0.0,0.0,5.831e-05,0.0,0.0,0.0,0.9550186228631459,4989.494795148506,4992.35547061634,0.9570293808019906,9.57120980091819e-05,0.0,9.57120980091819e-05,-9.570293808025543e-05,0.9984710941232683,1.0,0.9984710941232681,1.001531247009283,0.0010511227902531006,0.0
2019-05-01 01:09:00-04:00,,1,0.0,0.0,1.271e-05,0.9550186228631459,0.9550186228631459,4989.017285837074,5224.0,,1,0.0,0.0,0.0008865,,1,0.0,0.0,5.831e-05,0.0,0.0,0.0,0.9550186228631459,4989.017285837074,4991.877687529862,0.9571209800918836,-9.57029380801444e-05,0.0,-9.57029380801444e-05,9.57120980091819e-05,0.9983755375059726,1.0,0.9983755375059724,1.001627105666156,0.0011466794075487563,0.0
