datetime,bitmex-ADA/BTC-fill,bitmex-ADA/BTC-leverage,bitmex-ADA/BTC-position-in-BTC,bitmex-ADA/BTC-position-in-USD,bitmex-ADA/BTC-price,bitmex-BCH/BTC-fill,bitmex-BCH/BTC-leverage,bitmex-BCH/BTC-position-in-BTC,bitmex-BCH/BTC-position-in-USD,bitmex-BCH/BTC-price,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,benchmark_equity,btc_benchmark_equity,returns,btc_returns,benchmark_returns,btc_benchmark_returns,equity_curve,btc_equity_curve,benchmark_equity_curve,btc_benchmark_equity_curve,drawdown,btc_drawdown
2019-05-01 01:00:00-04:00,,1,0.0,0.0,1.271e-05,,1,0.0,0.0,0.048,0.9550186228631459,0.9550186228631459,4997.1349441314105,5232.5,,1,0.0,0.0,0.0008867000000000001,,1,0.0,0.0,5.822e-05,0.0,0.0,0.0,0.9550186228631459,4997.1349441314105,5000.0,0.9555661729574773,,,,,,,,,,
2019-05-01 01:01:00-04:00,,1,0.0,0.0,1.271e-05,,1,0.0,0.0,0.04798,0.9550186228631459,0.9550186228631459,4993.79237895139,5229.0,,1,0.0,0.0,0.0008866,,1,0.0,0.0,5.822e-05,0.0,0.0,0.0,0.9550186228631459,4993.79237895139,4996.655518394648,0.9562057754828839,-0.0006688963210701449,0.0,-0.0006688963210703669,0.0006693440428380271,0.9993311036789299,1.0,0.9993311036789296,1.000669344042838,0.0,0.0
2019-05-01 01:02:00-04:00,,1,0.0,0.0,1.27e-05,,1,0.0,0.0,0.04786,0.9550186228631459,0.9550186228631459,4994.269888262821,5229.5,,1,0.0,0.0,0.0008868,,1,0.0,0.0,5.8299999999999994e-05,0.0,0.0,0.0,0.9550186228631459,4994.269888262821,4997.133301481128,0.9561143512764126,9.562057754819442e-05,0.0,9.562057754841646e-05,-9.561143512759607e-05,0.9994266602962255,1.0,0.9994266602962255,1.0005736686107658,0.0,0.0
2019-05-01 01:03:00-04:00,,1,0.0,0.0,1.27e-05,MarketSell,1,-0.19164,-1002.2772,0.04791,0.7634350428631458,0.9548750428631458,4993.996474174252,5230.0,,1,0.0,0.0,0.0008867000000000001,,1,0.0,0.0,5.8299999999999994e-05,-0.19164,-1002.2772,0.00014358,0.9548750428631458,4993.996474174252,4997.611084567607,0.9560229445506692,-5.474555734585884e-05,-0.00015034261800006554,9.561143512759607e-05,-9.560229445515489e-05,0.9993719461266812,0.9998496573819999,0.9995222169135212,1.000478011472275,5.471416954427877e-05,0.00015034261800006554
2019-05-01 01:04:00-04:00,,1,0.0,0.0,1.27e-05,,1,-0.19132000000000002,-999.4556800000001,0.047830000000000004,0.7634350428631458,0.9548750428631458,4988.267223917074,5224.0,,1,0.0,0.0,0.0008866,,1,0.0,0.0,5.825e-05,-0.19132000000000002,-999.4556800000001,0.00014358,0.9548750428631458,4988.267223917074,4991.877687529862,0.9571209800918836,-0.0011472275334606374,0.0,-0.0011472275334608595,0.0011485451761104049,0.9982254391139166,0.9998496573819999,0.9983755375059722,1.001627105666156,0.0012012211823089203,0.00015034261800006554
2019-05-01 01:05:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19132000000000002,-999.5513400000001,0.047830000000000004,0.7634350428631458,0.9548750428631458,4988.744661438505,5224.5,,1,0.0,0.0,0.0008868,,1,0.0,0.0,5.827e-05,-0.19132000000000002,-999.5513400000001,0.00014358,0.9548750428631458,4988.744661438505,4992.35547061634,0.9570293808019906,9.57120980091819e-05,0.0,9.57120980091819e-05,-9.570293808025543e-05,0.9983209813649804,0.9998496573819999,0.998471094123268,1.001531247009283,0.0011056789312451354,0.00015034261800006554
2019-05-01 01:06:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19155999999999998,-1000.8052199999998,0.047889999999999995,0.7634350428631458,0.9548750428631458,4988.744661438505,5224.5,,1,0.0,0.0,0.0008869999999999999,,1,0.0,0.0,5.8299999999999994e-05,-0.19155999999999998,-1000.8052199999998,0.00014358,0.9548750428631458,4988.744661438505,4992.35547061634,0.9570293808019906,0.0,0.0,0.0,0.0,0.9983209813649804,0.9998496573819999,0.998471094123268,1.001531247009283,0.0011056789312451354,0.00015034261800006554
2019-05-01 01:07:00-04:00,,1,0.0,0.0,1.27e-05,,1,-0.19152,-1000.5004799999999,0.04788,0.7634350428631458,0.9548750428631458,4988.267223917074,5224.0,,1,0.0,0.0,0.0008868,,1,0.0,0.0,5.831e-05,-0.19152,-1000.5004799999999,0.00014358,0.9548750428631458,4988.267223917074,4991.877687529862,0.9571209800918836,-9.57029380801444e-05,0.0,-9.57029380801444e-05,9.57120980091819e-05,0.9982254391139167,0.9998496573819999,0.9983755375059723,1.001627105666156,0.0012012211823088093,0.00015034261800006554
2019-05-01 01:08:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19168,-1001.43216,0.04792,0.7634350428631458,0.9548750428631458,4988.744661438505,5224.5,,1,0.0,0.0,0.0008865,,1,0.0,0.0,5.831e-05,-0.19168,-1001.43216,0.00014358,0.9548750428631458,4988.744661438505,4992.35547061634,0.9570293808019906,9.57120980091819e-05,0.0,9.57120980091819e-05,-9.570293808025543e-05,0.9983209813649805,0.9998496573819999,0.9984710941232681,1.001531247009283,0.0011056789312450244,0.00015034261800006554
2019-05-01 01:09:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19172,-1001.54528,0.04793,0.7634350428631458,0.9548750428631458,4988.267223917074,5224.0,,1,0.0,0.0,0.0008865,,1,0.0,0.0,5.831e-05,-0.19172,-1001.54528,0.00014358,0.9548750428631458,4988.267223917074,4991.877687529862,0.9571209800918836,-9.57029380801444e-05,0.0,-9.57029380801444e-05,9.57120980091819e-05,0.9982254391139168,0.9998496573819999,0.9983755375059724,1.001627105666156,0.0012012211823086982,0.00015034261800006554
2019-05-01 01:10:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19164,-1001.2231800000001,0.04791,0.7634350428631458,0.9548750428631458,4988.744661438505,5224.5,,1,0.0,0.0,0.0008865,,1,0.0,0.0,5.828e-05,-0.19164,-1001.2231800000001,0.00014358,0.9548750428631458,4988.744661438505,4992.35547061634,0.9570293808019906,9.57120980091819e-05,0.0,9.57120980091819e-05,-9.570293808025543e-05,0.9983209813649806,0.9998496573819999,0.9984710941232682,1.001531247009283,0.0011056789312449133,0.00015034261800006554
2019-05-01 01:11:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19152,-1000.5004799999999,0.04788,0.7634350428631458,0.9548750428631458,4988.267223917074,5224.0,,1,0.0,0.0,0.0008867000000000001,,1,0.0,0.0,5.829e-05,-0.19152,-1000.5004799999999,0.00014358,0.9548750428631458,4988.267223917074,4991.877687529862,0.9571209800918836,-9.57029380801444e-05,0.0,-9.57029380801444e-05,9.57120980091819e-05,0.9982254391139169,0.9998496573819999,0.9983755375059725,1.001627105666156,0.0012012211823085872,0.00015034261800006554
2019-05-01 01:12:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19155999999999998,-1000.99678,0.047889999999999995,0.7634350428631458,0.9548750428631458,4989.699536481368,5225.5,,1,0.0,0.0,0.0008856,,1,0.0,0.0,5.831e-05,-0.19155999999999998,-1000.99678,0.00014358,0.9548750428631458,4989.699536481368,4993.311036789298,0.956846234810066,0.0002871362940275457,0.0,0.0002871362940275457,-0.00028705387044303254,0.9985120658671082,0.9998496573819999,0.9986622073578597,1.001339584728734,0.0009145944291173436,0.00015034261800006554
2019-05-01 01:13:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19147999999999998,-1000.6744799999999,0.047869999999999996,0.7634350428631458,0.9548750428631458,4990.1769740028,5226.0,,1,0.0,0.0,0.0008853999999999999,,1,0.0,0.0,5.834e-05,-0.19147999999999998,-1000.6744799999999,0.00014358,0.9548750428631458,4990.1769740028,4993.788819875776,0.9567546880979717,9.568462348119589e-05,0.0,9.568462348097384e-05,-9.567546880973055e-05,0.9986076081181721,0.9998496573819999,0.9987577639751555,1.0012437810945274,0.0008190521780534477,0.00015034261800006554
2019-05-01 01:14:00-04:00,,1,0.0,0.0,1.271e-05,,1,-0.19155999999999998,-1001.1883399999999,0.047889999999999995,0.7634350428631458,0.9548750428631458,4990.654411524231,5226.5,,1,0.0,0.0,0.0008856,,1,0.0,0.0,5.835e-05,-0.19155999999999998,-1001.1883399999999,0.00014358,0.9548750428631458,4990.654411524231,4994.266602962255,0.9566631589017507,9.567546880973055e-05,0.0,9.567546880973055e-05,-9.566631589019714e-05,0.9987031503692357,0.9998496573819999,0.9988533205924511,1.0011479957906821,0.0007235099269897738,0.00015034261800006554
