datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,btc_returns,equity_curve,btc_equity_curve,drawdown,btc_drawdown
2019-06-01 01:00:00-04:00,0.5925925925925926,0.5925925925925926,5006.814814814815,8449.0,,1,0.0,0.0,0.0009574999999999999,0.0,0.0,0.0,0.5925925925925926,5006.814814814815,,,,,,
2019-06-01 01:01:00-04:00,0.5925925925925926,0.5925925925925926,5011.851851851851,8457.5,,1,0.0,0.0,0.000959,0.0,0.0,0.0,0.5925925925925926,5011.851851851851,0.001006036217303663,0.0,1.0010060362173037,1.0,0.0,0.0
2019-06-01 01:02:00-04:00,0.5925925925925926,0.5925925925925926,5010.962962962963,8456.0,,1,0.0,0.0,0.0009599999999999999,0.0,0.0,0.0,0.5925925925925926,5010.962962962963,-0.0001773573751108204,0.0,1.00082850041425,1.0,0.00017753580305357453,0.0
2019-06-01 01:03:00-04:00,0.5925925925925926,0.5925925925925926,5013.333333333333,8460.0,,1,0.0,0.0,0.0009589,0.0,0.0,0.0,0.5925925925925926,5013.333333333333,0.00047303689687794304,0.0,1.001301929222393,1.0,0.0,0.0
2019-06-01 01:04:00-04:00,0.5925925925925926,0.5925925925925926,5013.62962962963,8460.5,,1,0.0,0.0,0.0009593999999999999,0.0,0.0,0.0,0.5925925925925926,5013.62962962963,5.910165484634966e-05,0.0,1.0013611078234108,1.0,0.0,0.0
2019-06-01 01:05:00-04:00,0.5925925925925926,0.5925925925925926,5018.962962962963,8469.5,,1,0.0,0.0,0.0009612,0.0,0.0,0.0,0.5925925925925926,5018.962962962963,0.0010637669168487296,0.0,1.0024263226417323,1.0,0.0,0.0
2019-06-01 01:06:00-04:00,0.5925925925925926,0.5925925925925926,5021.0370370370365,8473.0,,1,0.0,0.0,0.0009615,0.0,0.0,0.0,0.5925925925925926,5021.0370370370365,0.0004132475352736087,0.0,1.0028405728488574,1.0,0.0,0.0
2019-06-01 01:07:00-04:00,0.5925925925925926,0.5925925925925926,5009.777777777777,8454.0,,1,0.0,0.0,0.0009618000000000001,0.0,0.0,0.0,0.5925925925925926,5009.777777777777,-0.002242417089578619,0.0,1.0005917860101783,1.0,0.0022487868386791288,0.0
2019-06-01 01:08:00-04:00,0.5925925925925926,0.5925925925925926,5001.481481481481,8440.0,,1,0.0,0.0,0.0009616,0.0,0.0,0.0,0.5925925925925926,5001.481481481481,-0.0016560208185474323,0.0,0.9989347851816779,1.0,0.0039057876671795277,0.0
2019-06-01 01:09:00-04:00,0.5925925925925926,0.5925925925925926,5010.37037037037,8455.0,,1,0.0,0.0,0.0009618000000000001,0.0,0.0,0.0,0.5925925925925926,5010.37037037037,0.0017772511848341832,0.0,1.000710143212214,1.0,0.0021304296366433384,0.0
2019-06-01 01:10:00-04:00,0.5925925925925926,0.5925925925925926,5011.259259259259,8456.5,,1,0.0,0.0,0.0009628,0.0,0.0,0.0,0.5925925925925926,5011.259259259259,0.00017740981667646594,0.0,1.0008876790152677,1.0,0.0019528938335897639,0.0
2019-06-01 01:11:00-04:00,0.5925925925925926,0.5925925925925926,5011.259259259259,8456.5,,1,0.0,0.0,0.0009627,0.0,0.0,0.0,0.5925925925925926,5011.259259259259,0.0,0.0,1.0008876790152677,1.0,0.0019528938335897639,0.0
2019-06-01 01:12:00-04:00,0.5925925925925926,0.5925925925925926,5006.222222222222,8448.0,,1,0.0,0.0,0.0009628,0.0,0.0,0.0,0.5925925925925926,5006.222222222222,-0.0010051439720925037,0.0,0.9998816427979638,1.0,0.002958930050893649,0.0
2019-06-01 01:13:00-04:00,0.5925925925925926,0.5925925925925926,5014.518518518518,8462.0,,1,0.0,0.0,0.0009624000000000001,0.0,0.0,0.0,0.5925925925925926,5014.518518518518,0.0016571969696970168,0.0,1.0015386436264642,1.0,0.00130192922239325,0.0
2019-06-01 01:14:00-04:00,0.5925925925925926,0.5925925925925926,5013.333333333333,8460.0,,1,0.0,0.0,0.0009624000000000001,0.0,0.0,0.0,0.5925925925925926,5013.333333333333,-0.00023635074450489846,0.0,1.0013019292223926,1.0,0.0015386436264648307,0.0
2019-06-01 01:15:00-04:00,0.5925925925925926,0.5925925925925926,5013.0370370370365,8459.5,,1,0.0,0.0,0.0009624000000000001,0.0,0.0,0.0,0.5925925925925926,5013.0370370370365,-5.910165484634966e-05,0.0,1.0012427506213748,1.0,0.0015978222274826148,0.0
